Date,Content,Video title,Video publish time,Duration,Views
2026-06,1LmYW6FD7V4,Încerc RAMEN coreean! 🍜🇰🇷 Oare îmi place? #8ish #challenge #provocari #suceava #korean #ramen,"Sep 6, 2026",60,0
2026-07,1LmYW6FD7V4,Încerc RAMEN coreean! 🍜🇰🇷 Oare îmi place? #8ish #challenge #provocari #suceava #korean #ramen,"Sep 6, 2026",60,0
2026-08,1LmYW6FD7V4,Încerc RAMEN coreean! 🍜🇰🇷 Oare îmi place? #8ish #challenge #provocari #suceava #korean #ramen,"Sep 6, 2026",60,0
2026-09,1LmYW6FD7V4,Încerc RAMEN coreean! 🍜🇰🇷 Oare îmi place? #8ish #challenge #provocari #suceava #korean #ramen,"Sep 6, 2026",60,1545
2026-06,7oGL_7qAGaw,Cum a făcut asta?! #challenge #distractie #intrebari #provocari #8ish  #shorts #magie #copii #truc,"Aug 31, 2026",19,0
2026-07,7oGL_7qAGaw,Cum a făcut asta?! #challenge #distractie #intrebari #provocari #8ish  #shorts #magie #copii #truc,"Aug 31, 2026",19,0
2026-08,7oGL_7qAGaw,Cum a făcut asta?! #challenge #distractie #intrebari #provocari #8ish  #shorts #magie #copii #truc,"Aug 31, 2026",19,18
2026-09,7oGL_7qAGaw,Cum a făcut asta?! #challenge #distractie #intrebari #provocari #8ish  #shorts #magie #copii #truc,"Aug 31, 2026",19,2425
2026-06,lZZlsOp3LD4,Am vrut doar să tai iarba..😂 Ce putea să meargă prost? @8siCeva #8ish #provocare #kidsvlog #romania ,"Sep 5, 2026",530,0
2026-07,lZZlsOp3LD4,Am vrut doar să tai iarba..😂 Ce putea să meargă prost? @8siCeva #8ish #provocare #kidsvlog #romania ,"Sep 5, 2026",530,0
2026-08,lZZlsOp3LD4,Am vrut doar să tai iarba..😂 Ce putea să meargă prost? @8siCeva #8ish #provocare #kidsvlog #romania ,"Sep 5, 2026",530,0
2026-09,lZZlsOp3LD4,Am vrut doar să tai iarba..😂 Ce putea să meargă prost? @8siCeva #8ish #provocare #kidsvlog #romania ,"Sep 5, 2026",530,1677
2026-06,pv_IBOWml-U,Provocări + Distracție + Întrebări = HAOS 😂 @8siCeva ,"Aug 30, 2026",523,0
2026-07,pv_IBOWml-U,Provocări + Distracție + Întrebări = HAOS 😂 @8siCeva ,"Aug 30, 2026",523,0
2026-08,pv_IBOWml-U,Provocări + Distracție + Întrebări = HAOS 😂 @8siCeva ,"Aug 30, 2026",523,105
2026-09,pv_IBOWml-U,Provocări + Distracție + Întrebări = HAOS 😂 @8siCeva ,"Aug 30, 2026",523,957
2026-06,xA9xGXympKk,"Beatbox si Sushi, pisica. #8ish @8siCeva #challenge #beatbox #kids #funny ","Sep 6, 2026",46,0
2026-07,xA9xGXympKk,"Beatbox si Sushi, pisica. #8ish @8siCeva #challenge #beatbox #kids #funny ","Sep 6, 2026",46,0
2026-08,xA9xGXympKk,"Beatbox si Sushi, pisica. #8ish @8siCeva #challenge #beatbox #kids #funny ","Sep 6, 2026",46,0
2026-09,xA9xGXympKk,"Beatbox si Sushi, pisica. #8ish @8siCeva #challenge #beatbox #kids #funny ","Sep 6, 2026",46,621
